City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
486,Cairns,AU,-16.9167,145.7667,94.06,57,40,10.36,scattered clouds
487,Nemuro,JP,43.3236,145.575,39.63,60,8,8.05,clear sky
488,Lodja,CD,-3.4833,23.4333,66.79,99,63,1.52,light rain
489,Rawson,AR,-43.3002,-65.1023,69.57,40,98,29.95,overcast clouds
490,Villa Del Rosario,CO,7.8339,-72.4742,79.18,69,40,4.61,scattered clouds
491,Krasnaya Gora,RU,52.9995,31.6023,37.31,97,100,8.81,light rain
492,Awbari,LY,26.5921,12.7805,59.16,66,68,8.77,broken clouds
493,Camocim,BR,-2.9022,-40.8411,80.73,79,72,14.63,broken clouds
494,Banjar,ID,-8.19,114.9675,82.26,73,100,6.35,overcast clouds
495,Miami,US,25.7743,-80.1937,77.04,93,90,4.0,mist
496,Pahrump,US,36.2083,-115.9839,63.25,28,100,4.92,overcast clouds
497,Vrises,GR,35.492,23.8899,57.96,78,83,8.34,broken clouds
498,Pacific Grove,US,36.6177,-121.9166,61.79,81,1,4.0,clear sky
499,Manacapuru,BR,-3.2997,-60.6206,79.38,92,100,1.07,overcast clouds
500,Lewisporte,CA,49.2499,-55.0482,32.38,75,46,8.34,scattered clouds
501,Vestmannaeyjar,IS,63.4427,-20.2734,34.14,64,100,2.66,light snow
502,Tulln,AT,48.3283,16.0586,44.22,84,23,1.83,few clouds
503,San Vicente,AR,-26.6167,-54.1333,62.87,77,49,3.02,scattered clouds
504,Maceio,BR,-9.6658,-35.7353,76.44,88,40,8.05,scattered clouds
505,Talnakh,RU,69.4865,88.3972,-20.81,91,19,9.24,few clouds
506,Oistins,BB,13.0667,-59.5333,78.89,73,20,13.8,few clouds
507,Skjervoy,NO,70.0311,20.9714,34.2,53,100,24.96,light snow
508,Matara,LK,5.9485,80.5353,81.07,71,75,10.31,broken clouds
509,Shahr-E Kord,IR,32.3256,50.8644,42.57,81,75,6.91,broken clouds
510,Timiryazevskiy,RU,56.49,84.8769,19.17,80,100,11.3,overcast clouds
511,Bukama,CD,-9.2,25.85,67.95,97,100,2.01,overcast clouds
512,Cacule,BR,-14.5033,-42.2222,71.28,85,100,3.06,overcast clouds
513,Saint-Augustin,CA,51.226,-58.6502,27.82,56,0,13.22,clear sky
514,Vao,NC,-22.6667,167.4833,73.35,77,34,11.18,scattered clouds
515,Tambacounda,SN,13.7539,-13.7586,71.65,73,0,2.3,clear sky
516,Ambon,ID,-3.6954,128.1814,89.74,66,40,6.91,scattered clouds
517,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.17,78,53,10.63,broken clouds
518,Port Hedland,AU,-20.3167,118.5667,96.85,32,98,8.05,overcast clouds
519,Cortez,US,37.3489,-108.5859,41.7,69,20,0.0,few clouds
520,Amahai,ID,-3.3333,128.9167,87.19,64,70,4.92,broken clouds
521,Hauterive,FR,46.0901,3.4459,39.02,89,70,2.66,broken clouds
522,Mandalgovi,MN,45.7625,106.2708,6.62,47,10,26.24,clear sky
523,Tamandare,BR,-8.7597,-35.1047,77.92,79,58,9.6,broken clouds
524,Chara,RU,56.9064,118.2631,2.28,93,100,0.98,overcast clouds
525,Pacifica,US,37.6138,-122.4869,60.53,81,1,1.99,clear sky
526,Severodvinsk,RU,64.5635,39.8302,28.51,95,99,4.94,light snow
527,Bathsheba,BB,13.2167,-59.5167,79.41,73,20,13.8,few clouds
528,Floridia,IT,37.0869,15.1519,56.43,72,0,3.56,clear sky
529,Lavrentiya,RU,65.5833,-171.0,2.46,89,35,9.37,scattered clouds
530,Warrington,GB,53.3925,-2.5802,47.98,82,40,1.99,scattered clouds
531,Moindou,NC,-21.6924,165.677,80.55,66,74,13.4,light rain
532,Bonavista,CA,48.6499,-53.1147,36.12,68,97,20.29,overcast clouds
533,Malanje,AO,-9.5402,16.341,63.23,99,100,2.86,overcast clouds
534,Gunjur,GM,13.2019,-16.7339,79.18,77,75,12.28,broken clouds
535,Kautokeino,NO,69.0125,23.0412,21.83,95,100,9.84,snow
536,Antigonish,CA,45.6169,-61.9986,38.55,76,10,5.77,clear sky
537,Kalaleh,IR,37.3807,55.4916,46.0,53,0,0.0,clear sky
538,Doba,TD,8.65,16.85,73.36,34,17,2.08,few clouds
539,Nizhniy Kuranakh,RU,58.8353,125.4869,-6.79,93,77,1.74,broken clouds
540,Shenjiamen,CN,29.9576,122.298,63.82,83,82,6.51,broken clouds
541,Narasannapeta,IN,18.4167,84.05,80.49,79,21,5.79,few clouds
542,Plainview,US,40.7765,-73.4673,48.45,67,20,6.91,few clouds
543,Pontianak,ID,-0.0333,109.3333,85.98,74,40,4.61,scattered clouds
544,Mutis,CO,6.2262,-77.4044,76.21,90,98,5.28,light rain
545,Nong Bua,TH,15.8646,100.5858,85.06,71,41,2.82,scattered clouds
546,Digha,IN,21.6833,87.55,79.14,65,7,4.85,clear sky
547,Mujiayingzi,CN,42.1167,118.7833,30.07,40,100,18.5,overcast clouds
548,Chumikan,RU,54.7183,135.315,9.55,71,0,12.53,clear sky
549,Bulgan,MN,48.8125,103.5347,6.75,34,17,3.74,few clouds
550,Asau,RO,46.4333,26.4,41.95,67,46,6.04,scattered clouds
551,Cochabamba,BO,-17.3895,-66.1568,67.75,45,75,9.22,broken clouds
552,Luanda,AO,-8.8368,13.2343,78.71,76,100,4.47,overcast clouds
553,Dong Xoai,VN,11.5333,106.9167,85.23,69,66,2.17,broken clouds
554,Okha,RU,53.5739,142.9478,30.47,69,99,17.38,overcast clouds
555,Effingham,US,32.3669,-81.3332,56.84,92,40,5.44,scattered clouds
556,Te Anau,NZ,-45.4167,167.7167,53.51,95,100,3.29,moderate rain
557,Xique-Xique,BR,-10.8218,-42.7263,81.41,56,20,13.94,few clouds
558,Barcelos,PT,41.5388,-8.6151,58.91,66,100,2.95,overcast clouds
559,Wanaka,NZ,-44.7,169.15,53.04,92,100,2.75,overcast clouds
560,Makokou,GA,0.5738,12.8642,69.3,99,100,2.04,light rain
561,Black River,JM,18.0264,-77.8487,80.6,82,76,3.74,broken clouds
