City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Sao Joao Da Barra,BR,2021-11-11 18:28:02,-21.6403,-41.0511,73.49,89,100,11.72
92,Upernavik,GL,2021-11-11 18:28:02,72.7868,-56.1549,18.88,64,100,17.67
93,Sioux Lookout,CA,2021-11-11 18:24:58,50.1001,-91.917,30.58,93,90,11.5
94,Amambai,BR,2021-11-11 18:28:02,-23.1042,-55.2258,79.7,64,100,8.28
95,Nikolskoye,RU,2021-11-11 18:28:03,59.7035,30.7861,41.88,88,96,8.39
96,Sao Filipe,CV,2021-11-11 18:28:03,14.8961,-24.4956,76.98,74,12,8.7
97,Guerrero Negro,MX,2021-11-11 18:28:03,27.9769,-114.0611,77.41,37,0,4.81
98,Fort Wellington,GY,2021-11-11 18:28:03,6.4,-57.6,84.07,63,6,8.61
99,Arraial Do Cabo,BR,2021-11-11 18:28:04,-22.9661,-42.0278,73.26,68,90,5.75
100,Provideniya,RU,2021-11-11 18:28:04,64.3833,-173.3,13.26,90,91,6.76
101,Locri,IT,2021-11-11 18:28:04,38.2414,16.2623,68.56,85,100,6.06
102,Ancud,CL,2021-11-11 18:28:04,-41.8697,-73.8203,58.53,71,100,6.35
103,Oudtshoorn,ZA,2021-11-11 18:28:05,-33.5907,22.2014,61.16,77,16,7.27
104,Ugoofaaru,MV,2021-11-11 18:28:05,5.6667,73.0,82.26,77,5,18.63
105,Georgetown,MY,2021-11-11 18:28:05,5.4112,100.3354,79.95,89,20,1.99
106,Tsiroanomandidy,MG,2021-11-11 18:28:06,-18.7667,46.0333,75.49,66,100,6.64
107,Ribeira Grande,PT,2021-11-11 18:28:06,38.5167,-28.7,70.2,88,40,11.5
108,Kodiak,US,2021-11-11 18:28:06,57.79,-152.4072,29.71,80,90,5.75
109,Pevek,RU,2021-11-11 18:28:06,69.7008,170.3133,-4.27,98,83,6.44
110,Lebu,CL,2021-11-11 18:28:07,-37.6167,-73.65,59.56,76,100,6.62
111,Olafsvik,IS,2021-11-11 18:28:07,64.8945,-23.7142,36.28,97,93,11.52
112,Delijan,IR,2021-11-11 18:28:07,33.9905,50.6838,45.72,62,100,5.66
113,Hvide Sande,DK,2021-11-11 18:28:08,56.0045,8.1294,50.29,72,100,14.83
114,Kathu,TH,2021-11-11 18:28:08,7.9178,98.3332,82.69,97,100,7.0
115,Vuktyl,RU,2021-11-11 18:28:08,63.8567,57.3094,24.33,94,100,9.75
116,Westport,US,2021-11-11 18:28:08,41.1415,-73.3579,61.09,64,1,1.99
117,Oxapampa,PE,2021-11-11 18:28:09,-10.5775,-75.4017,68.92,85,88,3.49
118,Parry Sound,CA,2021-11-11 18:28:09,45.3501,-80.033,49.21,49,100,17.9
119,Ayolas,PY,2021-11-11 18:28:09,-27.4,-56.9,89.83,36,1,8.37
120,Saint-Augustin,CA,2021-11-11 18:28:09,51.226,-58.6502,35.96,72,100,14.43
121,Mahebourg,MU,2021-11-11 18:28:10,-20.4081,57.7,76.24,78,75,4.61
122,Moita Bonita,BR,2021-11-11 18:28:10,-10.5775,-37.3428,81.57,46,45,15.3
123,Saldanha,ZA,2021-11-11 18:28:10,-33.0117,17.9442,64.45,89,5,19.1
124,Kampot,KH,2021-11-11 18:28:11,10.6167,104.1833,78.85,95,100,7.25
125,Belfast,GB,2021-11-11 18:28:11,54.5833,-5.9333,55.22,86,75,25.32
126,Airai,TL,2021-11-11 18:28:11,-8.9266,125.4092,62.6,93,96,1.23
127,Hamilton,US,2021-11-11 18:28:11,39.1834,-84.5333,70.03,72,75,1.01
128,Hay River,CA,2021-11-11 18:28:12,60.8156,-115.7999,24.78,86,75,10.36
129,Cape Town,ZA,2021-11-11 18:27:45,-33.9258,18.4232,66.09,76,20,5.01
130,Mar Del Plata,AR,2021-11-11 18:23:29,-38.0023,-57.5575,66.22,84,0,28.99
131,Kahului,US,2021-11-11 18:28:09,20.8947,-156.47,79.84,70,20,0.0
132,Araouane,ML,2021-11-11 18:28:12,18.9048,-3.5265,77.23,9,100,10.76
133,Athabasca,CA,2021-11-11 18:28:12,54.7169,-113.2854,24.62,65,8,3.18
134,Benguela,AO,2021-11-11 18:28:13,-12.5763,13.4055,78.76,79,68,6.58
135,Vestmannaeyjar,IS,2021-11-11 18:29:13,63.4427,-20.2734,40.19,81,20,32.21
136,Saint-Leu,RE,2021-11-11 18:29:13,-21.15,55.2833,74.26,92,72,4.68
137,Dwarka,IN,2021-11-11 18:29:14,22.2394,68.9678,80.76,42,26,8.79
138,Pitsunda,GE,2021-11-11 18:29:14,43.1592,40.3378,46.58,65,24,4.94
139,Flin Flon,CA,2021-11-11 18:29:14,54.7682,-101.865,22.84,74,90,12.66
140,Aklavik,CA,2021-11-11 18:29:14,68.2191,-135.0107,11.23,98,95,3.65
141,Albany,US,2021-11-11 18:26:03,42.6001,-73.9662,57.81,43,84,3.0
142,Portland,US,2021-11-11 18:27:31,45.5234,-122.6762,60.6,95,90,1.99
143,Takoradi,GH,2021-11-11 18:29:15,4.8845,-1.7554,79.83,86,64,7.92
144,East London,ZA,2021-11-11 18:29:15,-33.0153,27.9116,67.14,88,40,9.22
145,Pemangkat,ID,2021-11-11 18:29:15,1.1667,108.9667,79.25,80,100,8.23
146,Hasaki,JP,2021-11-11 18:29:16,35.7333,140.8333,45.0,54,27,14.0
147,Sollies-Pont,FR,2021-11-11 18:29:16,43.1898,6.0432,64.0,79,0,4.0
148,Quatre Cocos,MU,2021-11-11 18:29:16,-20.2078,57.7625,76.08,75,30,5.88
149,Shimoda,JP,2021-11-11 18:29:16,34.6667,138.95,55.11,57,6,16.58
150,Sehithwa,BW,2021-11-11 18:29:17,-20.4667,22.7167,84.54,30,95,14.32
151,Alofi,NU,2021-11-11 18:29:17,-19.0595,-169.9187,75.09,94,100,4.61
152,Clyde River,CA,2021-11-11 18:29:17,70.4692,-68.5914,3.43,60,96,20.71
153,Reggello,IT,2021-11-11 18:29:18,43.6801,11.5293,58.8,77,100,4.12
154,Payakumbuh,ID,2021-11-11 18:29:18,-0.2202,100.6308,70.41,99,100,1.43
155,Kungurtug,RU,2021-11-11 18:29:18,50.5994,97.5228,9.77,86,14,1.66
156,Caconda,AO,2021-11-11 18:29:18,-13.7333,15.0667,66.27,67,95,1.32
157,Sibiti,CG,2021-11-11 18:29:19,-3.6819,13.3499,71.55,96,85,3.15
158,Yaring,TH,2021-11-11 18:29:19,6.8662,101.3689,76.68,89,100,5.37
159,Plastun,RU,2021-11-11 18:29:19,44.7561,136.2939,32.97,72,100,8.1
160,Hollola,FI,2021-11-11 18:29:20,61.05,25.4333,40.01,84,100,9.48
161,Singida,TZ,2021-11-11 18:29:20,-4.8167,34.75,75.2,30,49,9.46
162,Markova,UA,2021-11-11 18:29:20,48.6758,24.4138,27.99,44,63,4.54
163,Tabuk,PH,2021-11-11 18:29:21,17.4189,121.4443,72.91,95,91,1.66
164,Butaritari,KI,2021-11-11 18:29:21,3.0707,172.7902,82.63,72,45,15.12
165,Severo-Kurilsk,RU,2021-11-11 18:29:21,50.6789,156.125,43.23,97,99,8.66
166,Porto Novo,BJ,2021-11-11 18:28:47,6.4965,2.6036,84.02,85,91,5.88
167,Celestun,MX,2021-11-11 18:29:21,20.8667,-90.4,81.7,53,2,5.57
168,Shelburne,CA,2021-11-11 18:29:22,44.0787,-80.2041,50.49,69,100,16.22
