City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Taksimo,RU,8.15,overcast clouds,56.3444,114.8794,"Gostinitsa ""Domashniy Ochag"""
429,Nome,US,5.07,clear sky,64.5011,-165.4064,Dredge 7 Inn
430,Sturgeon Falls,CA,40.08,overcast clouds,46.3646,-79.9326,Lincoln Motel
431,Praia Da Vitoria,PT,66.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
432,Camapua,BR,71.53,overcast clouds,-19.5314,-54.0439,Comercial Estrela
433,Rio Gallegos,AR,42.85,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
434,Porto Walter,BR,72.43,broken clouds,-8.2686,-72.7439,Secretaria de saúde
436,Sambava,MG,74.75,scattered clouds,-14.2667,50.1667,Melrose
437,Nshamba,TZ,60.6,broken clouds,-1.7983,31.5511,Mugemuzi’s Family
438,Zheleznodorozhnyy,RU,36.21,light rain,55.7503,38.0042,Hotel Dali
439,Pindobacu,BR,71.87,scattered clouds,-10.7417,-40.3608,Hotel Valmont
440,Svitavy,CZ,43.61,broken clouds,49.7559,16.4683,Garni hotel Svitavy
441,Sioux Lookout,CA,28.47,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
442,Santa Maria,BR,63.7,clear sky,-29.6842,-53.8069,Hotel Morotin
443,Ashqelon,IL,61.41,overcast clouds,31.6693,34.5715,Leonardo Ashkelon
444,Hasaki,JP,61.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
445,Clinton,US,41.94,overcast clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
446,Nishihara,JP,80.26,scattered clouds,26.1842,127.7558,Minshuku Agaihama
447,Superior,US,32.7,clear sky,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
448,Zeya,RU,14.13,overcast clouds,53.75,127.2667,Kapital Inn
449,Koforidua,GH,73.8,few clouds,6.0941,-0.2591,Ajaria Royal Palace Hotel
450,Siilinjarvi,FI,30.22,broken clouds,63.0833,27.6667,Hotelli Sandels Oy
451,Revda,RU,22.01,overcast clouds,56.801,59.9303,Gostinitsa Metallurg
452,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
453,Hafizabad,PK,62.67,clear sky,32.0679,73.6854,SAM
454,Zlitan,LY,63.09,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
456,Inta,RU,7.39,overcast clouds,66.0317,60.1659,Apartments in Inta city
458,Kiunga,PG,86.88,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
459,La Macarena,CO,73.56,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
460,Baturaja,ID,86.59,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
463,Lashio,MM,70.72,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
464,Biella,IT,44.89,clear sky,45.5871,8.0859,Agorà Palace Hotel
466,Rognan,NO,33.94,broken clouds,67.0953,15.3878,Rognan Hotell
467,Sedam,IN,75.47,broken clouds,17.1773,77.2824,Lakshmi Krupa
